power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge
0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
1200000,27000,0.6,[2206.75763969],176.8443357558875,91.14139693356046,190,7564.012830596181,480732.93786532135,504371.1190365735,147718.94081127454,226617.43760894187
1200000,27000,0.6,[2162.35414032],172.29204163662675,89.91304347826087,180,8157.706656287678,469002.56446055294,512229.9656148987,143358.342739397,220070.2109752597
1200000,27000,0.6,[2152.50323784],168.33953746419405,88.63232682060391,170,8508.636530898919,457933.15731636237,520129.5773959119,139178.79212271897,214071.56859933605
1200000,27000,0.6,[1894.00932237],156.95227239868612,87.04379562043795,160,11083.059494376046,438272.0045190199,530240.3815594681,132377.27858528378,202262.3349926982
1200000,27000,0.6,[1887.20109421],154.94855230498953,85.44654704452995,150,11443.19117858265,433110.9308170705,533711.4682078887,130432.1168258178,199455.17745373675
1200000,27000,0.6,[1814.83257151],147.2752198980319,83.52272727272728,140,12866.655469989702,417067.2960022892,543901.9588559376,124790.95495268147,190823.02738362693
1200000,27000,0.6,[1770.98211452],137.53169503323625,79.80864549950249,130,14309.09000698598,394173.9823341616,559653.0103925917,116732.6484472991,179030.34101231856
1200000,27000,0.6,[1632.02776105],128.83085606098837,77.71084337349397,120,16759.385478070835,382279.8937192206,565077.5209569631,112760.0108245742,172180.1236961389
1200000,27000,0.6,[1638.21453815],117.53944912196127,75.05197505197505,110,18455.122233865066,363098.38486767217,578452.9728063284,106681.81069534624,163447.1062313245
1200000,27000,0.6,[1547.551432],108.00109582798288,71.72572516636295,100,21430.729194390795,347358.5173339119,586851.7343975039,101553.35755398271,155309.43298267663
1200000,27000,0.6,[1514.31069498],101.64093669902,68.05251641137856,90,23278.153873133804,331854.65700800007,596862.7135014677,96487.11823620446,147842.2651018337
1200000,27000,0.6,[1502.58629826],90.62887044006914,63.45698261701065,80,27817.276125346627,317327.95703472855,603437.3112295023,91986.77510097795,141059.41670619044
1200000,27000,0.6,[1326.62021799],79.25745691378641,56.258419293231675,70,34523.9468653127,297804.6026790919,609643.6644350277,84386.05268745679,128878.51428590498
1200000,27000,0.6,[1070.88984226],66.48653279214138,49.232175486069494,60,46891.06967714659,282549.52880999056,605289.0141785546,77033.61654457224,116368.48218022633
1200000,27000,0.6,[990.40712776],55.239342238131975,41.7372445108271,50,59648.637764508734,273533.24134287,597144.4914089224,71959.15622933298,108244.73721054348
1200000,27000,0.6,[675.37603421],43.76154971355913,30.73628852947295,40,79869.46686830129,255602.25646650462,584060.1519841771,59127.87139447914,87994.06861153894
1200000,27000,0.6,[345.10839023],26.114141875424306,16.422280026512126,30,115322.93469600113,225327.7958320604,561981.0962234609,37057.66066563598,54590.989214707195
1200000,27000,0.6,[19.25496827],2.1039249515978566,0.9330680944146514,20,188722.3055557912,189166.99139496122,500114.86371682375,2866.6258493603145,4174.959871659892
